fips,state,densityMi,pop2023,pop2022,pop2020,pop2019,pop2010,growthRate,growth,growthSince2010,TeacherScore,OppCompRank,WorkEnvRank,AvgTeacherPay,Region
33,New Hampshire,156.70245,1402957,1395231,1378587,1372375.3,1316470,0.00554,7726,0.0657,33.58,51,10,"$62,783 ",Northeast
34,New Jersey,1258.5582,9255437,9261699,9271689,9223709.5,8791894,-0.00068,-6262,0.05272,51.69,24,4,"$79,045 ",Northeast
35,New Mexico,17.39527,2110011,2113344,2118390,2112468.9,2059179,-0.00158,-3333,0.02469,38.61,20,51,"$54,272 ",West
36,New York,413.71663,19496810,19677151,20108296,20035276.6,19378102,-0.00916,-180341,0.00613,58.33,6,3,"$92,222 ",Northeast
37,North Carolina,222.7994,10832061,10698973,10449445,10358048.8,9535483,0.01244,133088,0.13597,45.75,11,38,"$53,644 ",South
38,North Dakota,11.31271,780588,779261,779518,768825.3,672591,0.0017,1327,0.16057,51.92,25,7,"$55,769 ",Midwest
39,Ohio,287.50579,11747774,11756058,11797517,11771415.7,11536504,-0.0007,-8284,0.01831,42,29,37,"$63,153 ",Midwest
40,Oklahoma,59.01851,4048375,4019800,3964912,3943555.9,3751351,0.00711,28575,0.07918,40.27,18,49,"$54,804 ",South
41,Oregon,44.00522,4223973,4240137,4244795,4203422.9,3831074,-0.00381,-16164,0.10256,46.38,10,36,"$69,671 ",West
42,Pennsylvania,289.02749,12931957,12972008,12994440,12965233.9,12702379,-0.00309,-40051,0.01807,50.7,14,14,"$72,428 ",Northeast
44,Rhode Island,1054.62573,1090483,1093734,1096345,1091967.2,1052567,-0.00297,-3251,0.03602,38.8,46,25,"$76,852 ",Northeast
45,South Carolina,178.70337,5372002,5282634,5131848,5081199.6,4625364,0.01692,89368,0.16142,41.8,23,44,"$53,393 ",South
46,South Dakota,12.1814,923484,909824,887799,880437.1,814180,0.01501,13660,0.13425,41.96,30,34,"$49,761 ",Midwest
47,Tennessee,173.0163,7134327,7051339,6925619,6867667.6,6346105,0.01177,82988,0.12421,39.09,43,33,"$53,619 ",South
48,Texas,116.75553,30500280,30029572,29232474,28823782.7,25145561,0.01567,470708,0.21295,49.94,9,26,"$58,887 ",South
49,Utah,41.6513,3422487,3380800,3283785,3231795,2763885,0.01233,41687,0.23829,57.19,2,12,"$58,619 ",West
50,Vermont,70.2133,647156,647064,642893,641177.8,625741,0.00014,92,0.03422,37.21,49,17,"$62,866 ",Northeast
51,Virginia,220.55895,8709873,8683619,8636471,8572926.3,8001024,0.00302,26254,0.08859,60.56,1,11,"$59,965 ",South
53,Washington,117.83476,7830827,7785786,7724031,7624081.9,6724540,0.00579,45041,0.16451,56.33,3,13,"$81,586 ",West
54,West Virginia,73.41651,1764786,1775156,1791420,1797577.4,1852994,-0.00584,-10370,-0.0476,43.7,34,20,"$50,315 ",South
55,Wisconsin,109.03241,5904977,5892539,5896271,5875342.5,5686986,0.00211,12438,0.03833,42.85,33,23,"$60,453 ",Midwest
56,Wyoming,6.00743,583279,581381,577605,576207.1,563626,0.00326,1898,0.03487,43.49,36,18,"$60,820 ",West
