Title,Author,State,District,Date of Challenge/Removal,Banned Status,Ban Origin
A Court of Wings and Ruin,"Maas, Sarah J.",Florida,Clay County School District,AY 2022-2023,Banned from Libraries and Classrooms,Administration/Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
A Court of Wings and Ruin,"Maas, Sarah J.",Florida,School District of Hamilton County,Mar-23,Banned from Libraries and Classrooms,Administration
A Court of Wings and Ruin,"Maas, Sarah J.",Florida,Volusia County Schools,Aug-22,Banned from Libraries and Classrooms,Formal Challenge
A Day in the Life of Marlon Bundo,"Twiss, Jill",Florida,Broward County Public Schools,Oct-22,Banned from Libraries and Classrooms,Informal Challenge
A Day in the Life of Marlon Bundo,"Twiss, Jill",Florida,Lake County Schools,Fall 2022,Banned from Libraries,Legislative Action
A Day No Pigs Would Die,"Peck, Robert Newton",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Family Is a Family Is a Family,"O'Leary, Sara",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Family of Poems: My Favorite Poetry for Children,"Kennedy, Caroline",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
A Good Kind of Trouble,"Ramée, Lisa Moore",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Lesson in Vengeance,"Lee, Victoria",Florida,Escambia County Public Schools,Feb-23,Banned Pending Investigation,Formal Challenge
A Little Piece of Ground,"Laird, Elizabeth",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Medieval Cathedral,"Macdonald, Fiona",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
A Neon Darkness,Lauren Shippen,Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Quick & Easy Guide to Queer & Trans Identities,"G., Mady",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Quick & Easy Guide to They/Them Pronouns,"Bongiovanni, Archie",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Sitting in St. James,"Williams-Garcia, Rita",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
A Song Below Water,"Morrow, Bethany C.",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
"Aardvarks, Disembark!","Jonas, Ann",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",Florida,Bay District Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",Florida,Escambia County Public Schools,Sep-22,Banned Pending Investigation,Formal Challenge
Ace of Spades,"Àbíké-Íyímídé, Faridah",Florida,Flagler Schools,Oct-22,Banned from Libraries and Classrooms,Formal Challenge
Adam and Eve and the Garden of Eden,"Ray, Jane",Florida,Brevard Public Schools,Jun-23,Banned from Libraries and Classrooms,Informal Challenge
After,"Efaw, Amy",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
After,"Efaw, Amy",Florida,Escambia County Public Schools,Apr-23,Banned Pending Investigation,Formal Challenge
Al Capone Does My Shirts,"Choldenko, Gennifer",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
All American Boys,"Reynolds, Jason",Florida,Clay County School District,AY 2022-2023,Banned Pending Investigation,Administration/Formal Challenge
All American Boys,"Reynolds, Jason",Florida,Martin County Schools,Feb-23,Banned from Libraries and Classrooms,Formal Challenge
